cave_id,name,inventory_number,latitude,longitude,pgi_id,pgi_name,pgi_latitude,pgi_longitude,lat_diff,lon_diff,distance_m,lat_abs_diff,lon_abs_diff
428,Schronisko Czorsztyńskie,P-04.01Ex,49.43476666662428,20.311336111492583,428,Schronisko Czorsztyńskie,49.43476665342603,20.3113361794882,1.319824605161557e-08,-6.799561802495191e-08,0.005131216071461725,1.319824605161557e-08,6.799561802495191e-08
470,Jaskinia w Starym Puszczykowie,NP-1Ex,52.27875,16.841433333290947,470,Jaskinia w Starym Puszczykowie,52.27874944375335,16.841434398152405,5.562466540709465e-07,-1.0648614576780346e-06,0.09525634135978935,5.562466540709465e-07,1.0648614576780346e-06
471,Nisze w Bielawach,NP-2Ex,52.81626666704813,18.00916388935513,471,Nisze w Bielawach,52.81626628812778,18.009163492286866,3.7892035464892615e-07,3.9706826271412865e-07,0.04987309322721869,3.7892035464892615e-07,3.9706826271412865e-07
472,Komora Kryształowa,NP-3Ex,52.78364999999602,18.25899166636997,472,Komora Kryształowa,52.78365137002677,18.258992734534793,-1.3700307448516469e-06,-1.0681648241472885e-06,0.16842894747076173,1.3700307448516469e-06,1.0681648241472885e-06
473,Groty w Nagórzycach,NP-4Ex,51.4964555560218,19.998150000042386,473,Groty w Nagórzycach,51.49645618422409,19.99814946559688,-6.28202286634405e-07,5.344455047406882e-07,0.07904580674796736,6.28202286634405e-07,5.344455047406882e-07
490,Jaskinia Wielka Śnieżna,T-Wielka Śnieżna,49.239941666920984,19.923044444190133,490,Jaskinia Wielka Śnieżna,49.23994281645647,19.923043236834307,-1.1495354854673678e-06,1.2073558259828587e-06,0.1549886353458155,1.1495354854673678e-06,1.2073558259828587e-06
491,Jaskinia Wielka Litworowa,T.E-12.01,49.23808611128065,19.914661110772027,491,Jaskinia Wielka Litworowa,49.23808614439629,19.914661105693444,-3.311564000796352e-08,5.078582887563243e-09,0.003700704356486623,3.311564000796352e-08,5.078582887563243e-09
493,Jaskinia nad Kotlinami,T.E-12.06,49.239391666518316,19.921377777523468,493,Jaskinia nad Kotlinami,49.23939166036958,19.92137784400728,6.148738407318888e-09,-6.648381400964354e-08,0.00487485356877694,6.148738407318888e-09,6.648381400964354e-08
494,Jasny Awen,T.E-12.05,49.23961388905843,19.921336110962763,494,Jasny Awen,49.239613886932375,19.921336078951697,2.1260575522319414e-09,3.201106579808766e-08,0.0023359595411233964,2.1260575522319414e-09,3.201106579808766e-08
495,Jaskinia Wilcza,T.E-12.64,49.241261111365425,19.92410555574629,495,Jaskinia Wilcza,49.24126109477459,19.924105526994413,1.6590831819485174e-08,2.8751877323429653e-08,0.0027856952429310775,1.6590831819485174e-08,2.8751877323429653e-08
